,Percentage of Successfully Responded Emergencies
1,57.56484149855908
2,56.3437483106071
3,56.098734224132706
4,55.66663434255173
5,55.326806518018444
6,55.11369543897598
7,55.14993414943852
8,55.179683760069054
9,55.150115403745964
10,54.9822235088662
11,55.08260633295378
12,55.00000093682831
13,54.88977855986272
14,54.90409814184262
15,54.85151662117878
16,54.757827483696104
17,54.758742617816424
18,54.75586158181757
19,54.76054144211998
20,54.699343638306665
21,54.67055715963525
22,54.64101002339058
23,54.596371152276035
24,54.555636198477714
25,54.545531962659815
26,54.47901343632595
27,54.50938719942638
28,54.511060553057284
29,54.53032322500028
30,54.5717424762789
31,54.50430689347454
32,54.46391882750217
33,54.46729452220508
34,54.52664036089341
35,54.51924210089393
36,54.55222575685232
37,54.57380925058077
38,54.50778616410942
39,54.439844662713945
40,54.455011753017956
41,54.460151020270466
42,54.43763074749598
43,54.422391261398175
44,54.45108680864294
45,54.49264694124344
46,54.47692249111715
47,54.47456092956707
48,54.45662433013496
49,54.45701884605787
50,54.46000577231929
51,54.43995229689868
52,54.4162936071114
53,54.449195898538214
54,54.48117106430538
55,54.48327501332264
56,54.46274034046569
57,54.47143582357202
58,54.475989470673774
59,54.4697901383745
60,54.46457218360767
61,54.45380783666112
62,54.43384024342047
63,54.42101154713983
64,54.427813377075545
65,54.44334166131667
66,54.45715413047124
67,54.46203932763023
68,54.50438655327956
69,54.494525209376285
70,54.485236440345844
71,54.49019333745384
72,54.46775550266447
73,54.452432395040034
74,54.44296398027855
75,54.45144024499548
76,54.4412851586094
77,54.4446535227121
78,54.449765317215494
79,54.486602769232896
80,54.47928544578427
81,54.480155126733024
82,54.4457714416633
83,54.430937372526955
84,54.42902345104242
85,54.44186974083995
86,54.423940460917066
87,54.42406983717097
88,54.42027170851409
89,54.44197677595937
90,54.44209153889706
91,54.43678912570224
92,54.421551408541795
93,54.417065427696556
94,54.41826900125597
95,54.423118206579275
96,54.43199379022909
97,54.45391099228764
98,54.463314420536406
99,54.467530377330654
100,54.4547090463562
