,Average Response Time
1,9.497274574801073
2,9.646051765693537
3,9.66705943656928
4,9.693776249445943
5,9.674403002614708
6,9.703030750765578
7,9.687566569680383
8,9.683928265727026
9,9.690211077529419
10,9.696930099219252
11,9.6884950877886
12,9.699035743908519
13,9.708049718011123
14,9.699421376628509
15,9.708830082121704
16,9.712369325901898
17,9.713312419800758
18,9.715099917056179
19,9.716855658095042
20,9.718530654161372
21,9.720689068951534
22,9.721669699876072
23,9.717473990304002
24,9.72893824462132
25,9.730910135323084
26,9.736327896036554
27,9.733232813188087
28,9.725956886092309
29,9.721761167110794
30,9.71723864406494
31,9.72058252117383
32,9.726508848030742
33,9.73275239334632
34,9.730567086149605
35,9.729882122676829
36,9.724812157864097
37,9.722256028600839
38,9.729844180892272
39,9.732555800586173
40,9.729967295788757
41,9.72963789935779
42,9.730691565038512
43,9.730038211486914
44,9.725972102283878
45,9.725387061377674
46,9.723245006885941
47,9.724227469864488
48,9.722967651403406
49,9.724010372612463
50,9.7231219244063
51,9.723374553385215
52,9.724348403670081
53,9.720556806447327
54,9.719520184829454
55,9.720403867159881
56,9.720341951736334
57,9.717067299270678
58,9.71544310062311
59,9.715612988303063
60,9.715543893979394
61,9.720401928111917
62,9.723033324742797
63,9.724431539474805
64,9.723157683830342
65,9.722055000893075
66,9.719197442834233
67,9.720792352986647
68,9.719359191553623
69,9.720434664014702
70,9.721371509002253
71,9.719818881097568
72,9.721056747422278
73,9.721726104404837
74,9.722930362760337
75,9.720604579539259
76,9.721031864629259
77,9.722039040488767
78,9.721370703193651
79,9.719065887637495
80,9.718781520442997
81,9.718757607814542
82,9.719340374141423
83,9.721611876772013
84,9.722082505447624
85,9.722214016114888
86,9.722797016505986
87,9.723154668903701
88,9.723390023013458
89,9.722079734653368
90,9.722109791893608
91,9.722472498500178
92,9.723508096450148
93,9.723256286006762
94,9.722650289259796
95,9.720458777378042
96,9.719551529012605
97,9.716860156741081
98,9.716280055128843
99,9.715284739058031
100,9.71567602071654
