,Average Response Time
1,7.659154699379448
2,7.844098222304941
3,7.894801107276177
4,7.901268973159336
5,7.896646531243761
6,7.869955995885712
7,7.873128718885928
8,7.877469050081265
9,7.869655524292764
10,7.865927398953637
11,7.873035152932157
12,7.879332247418685
13,7.88429391035011
14,7.88186790190313
15,7.886108930569464
16,7.88867779319284
17,7.899845605144081
18,7.899276334196922
19,7.899529373984649
20,7.904640060514117
21,7.907068388051501
22,7.909108683938991
23,7.9042851124916105
24,7.904434052445519
25,7.907442471586446
26,7.908269501348757
27,7.901432548119898
28,7.901716207573561
29,7.901527498726074
30,7.903323095595115
31,7.9010564330673905
32,7.899437723013604
33,7.899104999746772
34,7.900095180857915
35,7.897648959184557
36,7.8992309381961014
37,7.902437933780454
38,7.901452838007567
39,7.900311904973055
40,7.902246536833532
41,7.901744999127768
42,7.900982389631152
43,7.900764550262148
44,7.900714114754458
45,7.900473268547296
46,7.902776278710541
47,7.904949220141523
48,7.90720886960883
49,7.907236621795802
50,7.90751187264836
51,7.908102037048893
52,7.907666694045493
53,7.907928260906414
54,7.909052876855504
55,7.909022745582191
56,7.911177005888123
57,7.910649550000894
58,7.910595850490467
59,7.91101846672374
60,7.912500920042108
61,7.913103366813351
62,7.915804493709139
63,7.917174851339934
64,7.917074789599193
65,7.918213152187431
66,7.917439390391559
67,7.919035290294183
68,7.920103295339599
69,7.917522040208295
70,7.915655282347741
71,7.913992305305454
72,7.913255712124881
73,7.912344476789682
74,7.9130569353579165
75,7.913403752314409
76,7.9146489212541855
77,7.914182586634339
78,7.913472667563219
79,7.913325347594251
80,7.912973838236434
81,7.9113589182907695
82,7.909460987756201
83,7.908739537385706
84,7.910467498127489
85,7.911797614054535
86,7.909502857133502
87,7.910978304682128
88,7.909015639170236
89,7.910186145518443
90,7.911267489792076
91,7.9099285084731745
92,7.911958345234982
93,7.911788252853386
94,7.912927624717919
95,7.911855818292592
96,7.911217456778829
97,7.911866120246721
98,7.911377471679577
99,7.911744222484355
100,7.911634278598764
