,Percentage of Successfully Responded Emergencies
1,70.41420118343196
2,67.8507227923002
3,67.7103268787984
4,67.36323869611407
5,67.11848455861664
6,67.19904615064031
7,67.26576912627615
8,67.13719484781566
9,67.3479990802854
10,67.18189690224492
11,67.18991796864832
12,67.31452170849457
13,67.23068823829882
14,67.23406217235427
15,67.25107944819194
16,67.19934683669455
17,67.11366261079759
18,67.1784281880935
19,67.23868360248437
20,67.31136753538922
21,67.23649329175561
22,67.24225408782823
23,67.3050947430681
24,67.31700005292912
25,67.35181220625486
26,67.35870108026592
27,67.42994536065302
28,67.42254532494763
29,67.4415289499366
30,67.4280697887464
31,67.42807737511563
32,67.4703693969326
33,67.45878289948837
34,67.50093768051946
35,67.44057668885306
36,67.43958183373941
37,67.46687584512895
38,67.44706816214295
39,67.40898936950869
40,67.36101719906777
41,67.38343324757759
42,67.34613854503594
43,67.31557648377166
44,67.29720636863237
45,67.35627428351303
46,67.34024761689422
47,67.40895930525171
48,67.41703536492338
49,67.45027719264995
50,67.46346501099032
51,67.47426845064174
52,67.46179524615468
53,67.49296521799819
54,67.4836217322652
55,67.49184530572546
56,67.49616097877824
57,67.48189434056864
58,67.4310484252901
59,67.44377333641769
60,67.4413363858259
61,67.44321906434156
62,67.42194781997921
63,67.38769350620264
64,67.38012131526278
65,67.40558168898639
66,67.38972951281184
67,67.40804730033099
68,67.42191146202494
69,67.40705979235007
70,67.44365201501687
71,67.43371101542354
72,67.43664585748843
73,67.44216024272693
74,67.43395068847038
75,67.42425403792636
76,67.4360142220703
77,67.42099627525599
78,67.3984626803535
79,67.3877872539231
80,67.38060206882086
81,67.33427142042643
82,67.31942060864525
83,67.30320346665503
84,67.30194542454772
85,67.29596726832258
86,67.2862250072958
87,67.29039605918015
88,67.30468699112618
89,67.30373339819012
90,67.290436139223
91,67.27796638629478
92,67.25038005800675
93,67.25785621368139
94,67.25981964147311
95,67.22751943649159
96,67.21457228781163
97,67.20439274945123
98,67.22390156924098
99,67.23247721666283
100,67.24233771765535
