,Percentage of Successfully Responded Emergencies
1,59.896103896103895
2,57.06333486714237
3,56.93232712666426
4,56.44010218930332
5,56.33949983794331
6,56.34947698479698
7,56.31775006340196
8,55.95068838747885
9,55.886920412838386
10,55.88162696200091
11,55.75409584764023
12,55.647144683543736
13,55.53883365896353
14,55.40457130446672
15,55.3526131749717
16,55.39398417863392
17,55.38477087995753
18,55.43073256690733
19,55.423625533108584
20,55.46486406656349
21,55.41191535751145
22,55.37896924553354
23,55.32996921329021
24,55.312760174424646
25,55.337899967714684
26,55.29125249533179
27,55.24032504340322
28,55.28460823611875
29,55.220178609643035
30,55.189425490749805
31,55.17070131626428
32,55.23115637381523
33,55.2325669279154
34,55.1850080964444
35,55.19777242026684
36,55.23932703465161
37,55.233107473190316
38,55.270444475584675
39,55.2973647452066
40,55.280707706639234
41,55.233296894447534
42,55.25162796142682
43,55.26900801194905
44,55.27881068742518
45,55.325560457383965
46,55.34031647393558
47,55.40790510449969
48,55.43035199083377
49,55.482902340999125
50,55.52097156690641
51,55.52992080825345
52,55.56838157113488
53,55.56238915845421
54,55.51592704652921
55,55.50820807862886
56,55.52045839368522
57,55.50701348082506
58,55.49831726503012
59,55.49016289486808
60,55.49422391833692
61,55.481946613298476
62,55.49305313320426
63,55.53009101328458
64,55.53428418097807
65,55.565075122797786
66,55.57659957935155
67,55.585931812939556
68,55.614247840114615
69,55.6150573365301
70,55.654728870794756
71,55.652474223554435
72,55.62253936574462
73,55.631514638447236
74,55.62040548639484
75,55.60256032139297
76,55.59018952007493
77,55.58772976573977
78,55.57442892964394
79,55.56316103193138
80,55.554279547487525
81,55.578024488875265
82,55.600315955349856
83,55.60629131525917
84,55.590374167657394
85,55.5924421252214
86,55.61429928041833
87,55.62108181239104
88,55.62466332566023
89,55.626906987147215
90,55.63514527382987
91,55.63014042485276
92,55.63626060036869
93,55.63622634590667
94,55.66446630018252
95,55.67725658222793
96,55.66487388600996
97,55.64399106766273
98,55.6216188893533
99,55.59980489513794
100,55.56326313616524
