,Average Response Time
1,6.953240937113875
2,7.029451065687351
3,7.053270171700045
4,7.0740375795570065
5,7.107329332334956
6,7.090299289713127
7,7.088046078375001
8,7.092149102378715
9,7.08307747586576
10,7.078234266132803
11,7.066256358411812
12,7.055274940748234
13,7.055919713681783
14,7.059872708229652
15,7.059351280837612
16,7.056328267970111
17,7.052002128152645
18,7.054777024017117
19,7.0557195880120895
20,7.061341982012846
21,7.056790323742426
22,7.058094761202852
23,7.055547254512788
24,7.057916080129092
25,7.061313390614341
26,7.0620968014570344
27,7.058139292066976
28,7.055437781613446
29,7.058989301119261
30,7.0616630934869224
31,7.057497718634969
32,7.057845992065797
33,7.056007402934981
34,7.052529581942582
35,7.05576827769472
36,7.058062406192945
37,7.056919615366363
38,7.059131624127432
39,7.058102066557279
40,7.059087803731744
41,7.060936127806399
42,7.063147641616483
43,7.062130951060356
44,7.062358383585132
45,7.061801468066596
46,7.06035389695055
47,7.059791888794664
48,7.063146047230642
49,7.062653305554354
50,7.062390245612859
51,7.064650578150616
52,7.062313283322985
53,7.063323321474641
54,7.0646278541690135
55,7.06146647676672
56,7.063546086022908
57,7.062582494741133
58,7.061812179374735
59,7.06177606392267
60,7.061097236433363
61,7.061362439047881
62,7.060473455836378
63,7.060928987768406
64,7.059620781930295
65,7.059849522596332
66,7.061179029795547
67,7.06350146458648
68,7.063258145880504
69,7.063470196665812
70,7.062668115379109
71,7.062956428784994
72,7.062479281528063
73,7.060883822561052
74,7.059261121630028
75,7.059154227182492
76,7.06029996833504
77,7.0621881421057795
78,7.061939136598005
79,7.061110286645405
80,7.062359799258346
81,7.06213439498544
82,7.0631269726926975
83,7.063115199296253
84,7.062712647358232
85,7.061865908019275
86,7.062045103322675
87,7.063339331893755
88,7.063017582464178
89,7.062500796286109
90,7.064336239085773
91,7.065087960543671
92,7.0657968633446
93,7.065992304159587
94,7.065873979508985
95,7.066295227390845
96,7.065945678689005
97,7.065221678057694
98,7.065101492984009
99,7.065822113076639
100,7.065847776070537
