,Percentage of Successfully Responded Emergencies
1,76.41277641277642
2,77.66736970276793
3,77.01969778670563
4,78.21931879457468
5,78.21668241567548
6,78.18642597472423
7,78.01802337502627
8,78.27163899774894
9,78.42866897459754
10,78.66684183248947
11,78.51856808579883
12,78.63059543826047
13,78.51704744644931
14,78.51218545683412
15,78.58609663174975
16,78.66336793286264
17,78.71060811865603
18,78.57651252706802
19,78.52007003039664
20,78.44402530876138
21,78.63324231394334
22,78.6627102622311
23,78.51753262454581
24,78.63328320513575
25,78.66229398219349
26,78.64768310712405
27,78.54811260543323
28,78.42139429809633
29,78.45634107621102
30,78.40074814897535
31,78.38095276888916
32,78.32866733642516
33,78.27537585075102
34,78.32274695765076
35,78.42519410019116
36,78.47711532340062
37,78.41199564841446
38,78.42379697115274
39,78.49232943372463
40,78.50508153577371
41,78.60868691675208
42,78.54736241519227
43,78.55920874498601
44,78.53722005848803
45,78.5020317906634
46,78.53041571494664
47,78.5359988313514
48,78.51419760046814
49,78.4698403842608
50,78.51456508724883
51,78.50099043468013
52,78.41415754537726
53,78.44757905339824
54,78.3634097936018
55,78.33851366255563
56,78.26851528735219
57,78.21644873375227
58,78.20165635155031
59,78.23488155440265
60,78.28341514672061
61,78.32035773040843
62,78.27124858235638
63,78.25521941102345
64,78.26113530113368
65,78.24474777259232
66,78.23781046158186
67,78.21366673045078
68,78.20946996754107
69,78.25195657610998
70,78.26558016040319
71,78.24525194437325
72,78.27033691546548
73,78.26724835216967
74,78.2655627529675
75,78.29586157870853
76,78.27720073070975
77,78.26865847151666
78,78.27336785187784
79,78.31056726150118
80,78.31262242251954
81,78.33404306858198
82,78.35259078336637
83,78.35313858419842
84,78.37459296175003
85,78.33352810774052
86,78.34742706396226
87,78.36492331210059
88,78.3645173390544
89,78.37418637828046
90,78.37850899776417
91,78.3661964210429
92,78.3591301374952
93,78.3086793313891
94,78.3056198361638
95,78.29968075924252
96,78.30954653124827
97,78.33367651338759
98,78.3179403341145
99,78.34800554499742
100,78.33882811000392
