,Average Response Time
1,6.572588918756013
2,6.65605572795653
3,6.70674441506733
4,6.8243759223991525
5,6.81095003864949
6,6.779701018062387
7,6.820717430637239
8,6.8291354457331295
9,6.820762342518405
10,6.828188159996027
11,6.8302106003340555
12,6.833081998900084
13,6.847207596919983
14,6.854657943334332
15,6.854546533569248
16,6.847614831299409
17,6.836661677097941
18,6.84500819049685
19,6.846378424374035
20,6.847787079472743
21,6.845148620155504
22,6.827026441450278
23,6.827071420498455
24,6.829018534639872
25,6.827535146631369
26,6.822092909548725
27,6.819146865651228
28,6.829055642778694
29,6.8272194010081115
30,6.828308443599911
31,6.832008821924804
32,6.832562518548096
33,6.842204272806305
34,6.847184180898009
35,6.849445229939546
36,6.850479483122333
37,6.843820922123692
38,6.839280555890746
39,6.836694226584125
40,6.832658805278394
41,6.832607686024206
42,6.824173197746296
43,6.824561072045819
44,6.82148587322701
45,6.820903906291631
46,6.825711872961407
47,6.824904578714636
48,6.827892694223636
49,6.832482275064113
50,6.825613499932428
51,6.828216929648908
52,6.827371517600948
53,6.825825883228419
54,6.8242954796886375
55,6.822160624804198
56,6.824020475620708
57,6.822915257082306
58,6.8195646346615675
59,6.816494801354078
60,6.820777510705484
61,6.822022176595481
62,6.8195891211390975
63,6.81843285904076
64,6.818281477082386
65,6.817553212247765
66,6.8155869999305985
67,6.815374416854533
68,6.817751286834945
69,6.815022051654148
70,6.8127092195529535
71,6.811969620646909
72,6.813311522770795
73,6.811649555249074
74,6.810076341301618
75,6.811497947892212
76,6.810313262641389
77,6.812595757551978
78,6.811744136306934
79,6.8101001679397335
80,6.810462210982445
81,6.809257652795501
82,6.809746016338156
83,6.81366661936078
84,6.814434392288591
85,6.815768172860345
86,6.817323834651147
87,6.81713101021167
88,6.8148911887831165
89,6.812420585373064
90,6.81025680736492
91,6.807968817616321
92,6.8077560283813465
93,6.809145533405814
94,6.807393494492572
95,6.807932065840261
96,6.811445133479879
97,6.814122529336889
98,6.813137001482989
99,6.8112283908213564
100,6.8103080949144035
