,Percentage of Successfully Responded Emergencies
1,70.28443113772454
2,70.83249167930646
3,70.93081144633503
4,71.02592936823707
5,71.29906650554726
6,71.34950725905871
7,71.42963155897755
8,71.57297476349193
9,71.55541498635587
10,71.54101028926172
11,71.38225038886604
12,71.40669591377504
13,71.42890141662967
14,71.46996327009892
15,71.4925162645587
16,71.4895864472472
17,71.54270712898618
18,71.54293621364201
19,71.59185048290924
20,71.71526547756078
21,71.72768368835271
22,71.67048583229207
23,71.73369279956694
24,71.72864031708538
25,71.67972742822054
26,71.69085903454193
27,71.73574442354612
28,71.73462533741659
29,71.73277595730676
30,71.64378945299275
31,71.58086983844917
32,71.62581990439165
33,71.64172510316754
34,71.61135522035266
35,71.61319888908177
36,71.62325257316341
37,71.58732623844858
38,71.57733866331209
39,71.6024141477216
40,71.59195436464196
41,71.57822776194075
42,71.59124034702033
43,71.57601239992749
44,71.57900965532052
45,71.59363168985095
46,71.61373012716496
47,71.63705435998511
48,71.59427463127277
49,71.58479571415103
50,71.58991231514545
51,71.61136224315719
52,71.60985575032984
53,71.60630838851962
54,71.6325990614754
55,71.6211892869139
56,71.62983346318141
57,71.65542735006052
58,71.64882450541067
59,71.6347371268941
60,71.62478257439494
61,71.59385814935096
62,71.58748729177918
63,71.58904473255421
64,71.61449216811376
65,71.61982704367975
66,71.6397107333727
67,71.62158942500675
68,71.60587947393776
69,71.60519989843208
70,71.61075662149032
71,71.58846815093503
72,71.59107170048749
73,71.61549244990228
74,71.63116479331329
75,71.63353799285606
76,71.64875144830242
77,71.64394462370366
78,71.64735353928154
79,71.64557253235893
80,71.6391781334364
81,71.65114237587035
82,71.62009553020636
83,71.61840521282058
84,71.63277615829163
85,71.63396527859605
86,71.61660185336032
87,71.60933010538774
88,71.57583362648901
89,71.56150583276816
90,71.54753917572793
91,71.54878689750399
92,71.54179560153757
93,71.54101134952654
94,71.55324072145301
95,71.53638474624742
96,71.53093731153058
97,71.52546859616137
98,71.54378609327618
99,71.56155542918053
100,71.56212666414592
